5_73_7;1;1073;0909
5_73_9;2;1073;1001
5_73_11;1;1073;1047
5_73_12;2;1073;1141
5_73_13;1;1073;1227
5_73_15;2;1073;1321
5_73_16;1;1073;1407
5_73_17;2;1073;1501
5_73_19;1;1073;1547
5_73_20;2;1073;1642
5_73_21;1;1073;1727
5_73_23;2;1073;1822
5_73_25;1;1073;1908
5_73_26;2;1073;2003
5_73_28;1;1073;2048
5_73_29;2;1073N;2144
5_73_31;1;1073N;2230
5_73_32;2;1073N;2314
5_73_34;1;1073N;0000
5_73_35;2;1073N;0044
5_73_36;1;1073N;0130
5_73_38;2;1073N;0545
5_73_39;1;1073N;0635
5_73_41;2;1073N;0715
5_73_42;1;1073N;0805
5_73_44;2;1073;0902
5_73_46;1;1073;0949
5_73_47;2;1073;1041
5_73_48;1;1073;1127
5_73_50;2;1073;1221
5_73_51;1;1073;1307
5_73_53;2;1073;1401
5_73_54;1;1073;1447
5_73_55;2;1073;1541
5_73_56;1;1073;1627
5_73_58;2;1073;1722
5_73_59;1;1073;1807
5_73_60;2;1073;1902
5_73_62;1;1073;1948
5_73_63;2;1073;2044
5_73_65;1;1073;2129
5_73_66;2;1073N;2214
5_73_68;1;1073N;2300
5_73_69;2;1073N;2344
5_73_70;1;1073N;0030
5_73_71;2;1073N;0615
5_73_72;1;1073N;0705
5_73_74;2;1073;0800
5_73_75;1;1073;0849
5_73_76;2;1073;0942
5_73_78;1;1073;1027
5_73_79;2;1073;1121
5_73_80;1;1073;1207
5_73_82;2;1073;1301
5_73_83;1;1073;1347
5_73_84;2;1073;1441
5_73_86;1;1073;1527
5_73_87;2;1073;1621
5_73_88;1;1073;1707
5_73_89;2;1073;1802
5_73_91;1;1073;1848
5_73_92;2;1073;1942
5_73_93;1;1073;2028
5_73_95;2;1073;2114
5_73_96;1;1073;2201
5_73_97;2;1073N;2244
5_73_99;1;1073N;2330
5_73_100;2;1073N;0014
5_73_101;1;1073N;0100
5_73_102;2;1073;0745
5_73_103;1;1073;0829
5_73_105;2;1073;0922
5_73_107;1;1073;1007
5_73_108;2;1073;1101
5_73_109;1;1073;1147
5_73_111;2;1073;1241
5_73_112;1;1073;1327
5_73_114;2;1073;1421
5_73_115;1;1073;1507
5_73_116;2;1073;1601
5_73_117;1;1073;1647
5_73_118;2;1073;1742
5_73_119;1;1073;1828
5_73_121;2;1073;1922
5_73_123;1;1073;2008
5_73_125;2;1073;0842
5_73_126;1;1073;0929
5_73_128;2;1073;1021
5_73_129;1;1073;1107
5_73_131;2;1073;1201
5_73_132;1;1073;1247
5_73_134;2;1073;1341
5_73_135;1;1073;1427
5_73_136;2;1073;1521
5_73_137;1;1073;1607
5_73_138;2;1073;1702
5_73_139;1;1073;1747
5_73_141;2;1073;1842
5_73_143;1;1073;1928
5_73_144;2;1073;2023
5_73_146;1;1073;2109
